Date,Provinces and Territories,Total cases,Total deaths,Total recovered,New cases,New deaths,New recovered
2020-03-06,Alberta,1,0,0,1,0,0
2020-03-07,Alberta,2,0,0,1,0,0
2020-03-08,Alberta,4,0,0,2,0,0
2020-03-09,Alberta,7,0,0,3,0,0
2020-03-10,Alberta,7,0,0,0,0,0
2020-03-11,Alberta,19,0,0,12,0,0
2020-03-12,Alberta,19,0,0,0,0,0
2020-03-13,Alberta,29,0,0,10,0,0
2020-03-14,Alberta,29,0,0,0,0,0
2020-03-15,Alberta,39,0,0,10,0,0
2020-03-16,Alberta,56,0,0,17,0,0
2020-03-17,Alberta,74,0,0,18,0,0
2020-03-18,Alberta,97,0,0,23,0,0
2020-03-19,Alberta,119,0,0,22,0,0
2020-03-20,Alberta,146,1,0,27,1,0
2020-03-21,Alberta,195,1,0,49,0,0
2020-03-22,Alberta,259,1,0,64,0,0
2020-03-23,Alberta,301,1,0,42,0,0
2020-03-24,Alberta,359,1,0,58,0,0
2020-03-25,Alberta,358,2,0,0,1,0
2020-03-26,Alberta,486,2,0,128,0,0
2020-03-27,Alberta,542,2,0,56,0,0
2020-03-28,Alberta,542,2,0,0,0,0
2020-03-29,Alberta,621,2,0,79,0,0
2020-03-30,Alberta,661,3,0,40,1,0
2020-03-31,Alberta,690,8,0,29,5,0
2020-04-01,Alberta,754,9,0,64,1,0
2020-04-02,Alberta,969,13,0,215,4,0
2020-04-03,Alberta,969,13,0,0,0,0
2020-04-04,Alberta,1075,18,0,106,5,0
2020-04-05,Alberta,1181,20,0,106,2,0
2020-04-06,Alberta,1250,23,0,69,3,0
2020-04-07,Alberta,1373,24,0,123,1,0
2020-04-08,Alberta,1373,26,0,0,2,0
2020-04-09,Alberta,1423,29,0,50,3,0
2020-04-10,Alberta,1451,32,0,28,3,0
2020-04-11,Alberta,1567,40,0,116,8,0
2020-04-12,Alberta,1567,40,0,0,0,0
2020-04-13,Alberta,1732,46,0,165,6,0
2020-04-14,Alberta,1870,48,0,138,2,0
2020-04-15,Alberta,1870,48,0,0,0,0
2020-04-16,Alberta,1996,48,0,126,0,0
2020-04-17,Alberta,2397,50,0,401,2,0
2020-04-18,Alberta,2562,51,0,165,1,0
2020-04-19,Alberta,2803,51,0,241,0,0
2020-04-20,Alberta,2908,59,0,105,8,0
2020-04-21,Alberta,3095,61,0,187,2,0
2020-04-22,Alberta,3401,66,0,306,5,0
2020-04-23,Alberta,3720,68,0,319,2,0
2020-04-24,Alberta,4017,72,0,297,4,0
2020-04-25,Alberta,4233,73,0,216,1,0
2020-04-26,Alberta,4480,73,0,247,0,0
2020-04-27,Alberta,4696,75,0,216,2,0
2020-04-28,Alberta,4850,80,0,154,5,0
2020-04-29,Alberta,5165,87,0,315,7,0
2020-04-30,Alberta,5355,90,0,190,3,0
2020-05-01,Alberta,5573,92,0,218,2,0
2020-05-02,Alberta,5670,94,0,97,2,0
2020-05-03,Alberta,5766,95,0,96,1,0
2020-05-04,Alberta,5836,104,0,70,9,0
2020-05-05,Alberta,5893,106,0,57,2,0
2020-05-06,Alberta,5963,112,0,70,6,0
2020-05-07,Alberta,6017,114,0,54,2,0
2020-05-08,Alberta,6098,115,0,81,1,0
2020-05-09,Alberta,6157,116,0,59,1,0
2020-05-10,Alberta,6253,117,0,96,1,0
2020-05-11,Alberta,6300,117,0,47,0,0
2020-05-12,Alberta,6345,118,0,45,1,0
2020-05-13,Alberta,6407,120,0,62,2,0
2020-05-14,Alberta,6457,121,0,50,1,0
2020-05-15,Alberta,6515,125,0,58,4,0
2020-05-16,Alberta,6587,126,0,72,1,0
2020-05-17,Alberta,6644,127,0,57,1,0
2020-05-18,Alberta,6683,128,0,39,1,0
2020-05-19,Alberta,6716,128,0,33,0,0
2020-05-20,Alberta,6735,128,0,19,0,0
2020-05-21,Alberta,6768,132,0,33,4,0
2020-05-22,Alberta,6800,134,0,32,2,0
2020-05-23,Alberta,6818,135,0,18,1,0
2020-05-24,Alberta,6860,135,0,42,0,0
2020-05-25,Alberta,6879,138,0,19,3,0
2020-05-26,Alberta,6901,139,0,22,1,0
2020-05-27,Alberta,6926,141,0,25,2,0
2020-05-28,Alberta,6955,143,0,29,2,0
2020-05-29,Alberta,6979,143,0,24,0,0
2020-05-30,Alberta,6992,143,0,13,0,0
2020-05-31,Alberta,7010,143,0,18,0,0
2020-06-01,Alberta,7044,143,0,34,0,0
2020-06-02,Alberta,7057,143,0,13,0,0
2020-06-03,Alberta,7076,145,0,19,2,0
2020-06-04,Alberta,7091,146,0,15,1,0
2020-06-05,Alberta,7098,146,0,7,0,0
2020-06-06,Alberta,7138,146,0,40,0,0
2020-06-07,Alberta,7138,146,0,0,0,0
2020-06-08,Alberta,7202,149,0,64,3,0
2020-06-09,Alberta,7229,151,0,27,2,0
2020-06-10,Alberta,7276,151,0,47,0,0
2020-06-11,Alberta,7316,149,0,40,0,0
2020-06-12,Alberta,7346,149,0,30,0,0
2020-06-13,Alberta,7383,150,0,37,1,0
2020-06-14,Alberta,7433,150,0,50,0,0
2020-06-15,Alberta,7453,151,0,20,1,0
